name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,developer
Donkey Kong Country,Super Nintendo Entertainment System,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,Unknown
Minecraft,Xbox 360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,Unknown
Animal Crossing: New Leaf,Nintendo 3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,Nintendo
Mario Party Ds,Nintendo DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,Hudson Soft
The Elder Scrolls V: Skyrim,Xbox 360,2011,Role Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,Bethesda Game Studios
Super Mario Kart,Super Nintendo Entertainment System,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,Unknown
Fifa 16,PlayStation 4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,EA Sports
Halo 2,Xbox,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,Bungie Software
Wii Party,Nintendo Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,Nd Cube
Mario Party 8,Nintendo Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,Hudson
Fifa Soccer 13,PlayStation 3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,Electronic Arts
Goldeneye 007,Nintendo 64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,Unknown
Pokemon Black 2 & Pokemon White 2,Nintendo DS,2012,Role Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,Unknown
Final Fantasy X,PlayStation 2,2001,Role Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,SquareSoft
The Sims 3,Personal Computer,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,The Sims Studio
Mario & Sonic At The Olympic Games,Nintendo Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,Unknown
Star Wars Battlefront (2015),PlayStation 4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,Unknown
Final Fantasy Viii,PlayStation,1999,Role Playing,Squaresoft,2.28,1.72,3.63,0.23,7.86,SquareSoft
Pac-Man,Atari 2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,Unknown
Pokémon Platinum Version,Nintendo DS,2008,Role Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,Game Freak
Grand Theft Auto: Liberty City Stories,PlayStation Portable,2005,Action,Take Two Interactive,2.9,2.81,0.24,1.73,7.69,Rockstar Leeds
Call Of Duty: Advanced Warfare,PlayStation 4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,Sledgehammer Games
The Legend Of Zelda: Ocarina Of Time,Nintendo 64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,Unknown
Fifa 17,PlayStation 4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,"EA Sports, EA Vancouver"
Crash Bandicoot 2: Cortex Strikes Back,PlayStation,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,Unknown
Super Smash Bros. For Wii U And 3Ds,Nintendo 3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,Unknown
Super Mario Galaxy 2,Nintendo Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,Nintendo EAD Tokyo
Super Mario Bros. 2,Nintendo Entertainment System,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,Unknown
Call Of Duty: Black Ops 3,Xbox One,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,Unknown
Call Of Duty: World At War,Xbox 360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,Treyarch
Battlefield 3,Xbox 360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,EA DICE
Need For Speed Underground,PlayStation 2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,EA Black Box
Just Dance,Nintendo Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,Ubisoft Paris
Battlefield 3,PlayStation 3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,EA DICE
Fallout 4,PlayStation 4,2015,Role Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,Bethesda Game Studios
Tekken 3,PlayStation,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,Namco
The Legend Of Zelda: Twilight Princess,Nintendo Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,Nintendo
Pokemon Sun & Moon,Nintendo 3DS,2016,Role Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,Unknown
Crash Bandicoot 3: Warped,PlayStation,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,Naughty Dog
Mario Kart 8,Nintendo Wii U,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,Nintendo
Super Smash Bros. Melee,GameCube,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,HAL Labs
Mario Kart: Double Dash!!,GameCube,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,Unknown
Need For Speed Underground 2,PlayStation 2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,EA Canada
Medal Of Honor: Frontline,PlayStation 2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,EA LA
Crash Bandicoot,PlayStation,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,Unknown
Just Dance 4,Nintendo Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,Ubisoft
Gears Of War 2,Xbox 360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,Epic Games
