name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,developer
Monster Trucks,Game Boy Advance,2004,Racing,Majesco Entertainment,0.43,0.16,0.0,0.01,0.6,Skyworks Technologies
World Of Zoo,Nintendo Wii,2009,Simulation,Thq,0.4,0.15,0.0,0.05,0.6,Blue Fang Games
Shadow The Hedgehog,PlayStation 2,2005,Platform,Sega,0.5,0.02,0.0,0.08,0.6,Sonic Team
Wave Race: Blue Storm,GameCube,2001,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6,Nintendo
Aliens: Colonial Marines,PlayStation 3,2013,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,Gearbox Software
Backyard Wrestling: Don'T Try This At Home,PlayStation 2,2003,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6,Paradox Development
Yakuza: Dead Souls,PlayStation 3,2011,Shooter,Sega,0.09,0.06,0.42,0.03,0.6,Ryu ga Gotoku Studios
Fight Night Round 2,Xbox,2005,Fighting,Electronic Arts,0.42,0.16,0.0,0.02,0.6,EA Sports
Monhun Nikki: Poka Poka Ailu Mura,PlayStation Portable,2010,Role Playing,Capcom,0.0,0.0,0.6,0.0,0.6,Unknown
Dead Island: Riptide,PlayStation 3,2013,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,Techland
Just Dance 2015,Xbox 360,2014,Misc,Ubisoft,0.42,0.13,0.0,0.06,0.6,Ubisoft
Kinect Sports Rivals,Xbox One,2014,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,Microsoft Game Studios
Nba 2K8,PlayStation 2,2007,Sports,Take Two Interactive,0.5,0.02,0.0,0.08,0.6,Visual Concepts
Dynasty Warriors 8,PlayStation 3,2013,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,Omega Force
Suikoden,PlayStation,1995,Role Playing,Konami Digital Entertainment,0.21,0.14,0.21,0.04,0.6,Unknown
Disney Infinity,Nintendo Wii U,2013,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,Avalanche Software
Secret Agent Clank,PlayStation 2,2009,Platform,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6,Sanzaru Games
Call Of Juarez: Bound In Blood,Xbox 360,2009,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.6,Techland
Fighters Uncaged,Xbox 360,2010,Fighting,Ubisoft,0.31,0.23,0.0,0.06,0.6,Ubisoft
Rayman Arena,PlayStation 2,2001,Racing,Ubisoft,0.29,0.23,0.0,0.08,0.6,Ubisoft
Jaws Unleashed,PlayStation 2,2006,Action,Thq,0.5,0.02,0.0,0.08,0.6,Appaloosa Interactive
Puyo Puyo Sun,Sega Saturn,1997,Puzzle,Compile,0.0,0.0,0.6,0.0,0.6,Unknown
Half-Life,PlayStation 2,2001,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6,Gearbox Software
International Superstar Soccer 64,Nintendo 64,1997,Sports,Konami Digital Entertainment,0.09,0.26,0.23,0.02,0.6,Unknown
Mickey'S Speedway Usa,Nintendo 64,2000,Racing,Nintendo,0.37,0.08,0.14,0.01,0.6,Unknown
Nascar Heat 2002,PlayStation 2,2001,Racing,Infogrames,0.29,0.23,0.0,0.08,0.6,Monster Games Inc.
Split & Second,Xbox 360,2010,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.6,Black Rock Studio
The Golden Compass,Nintendo DS,2007,Action,Sega,0.28,0.25,0.0,0.06,0.6,Artificial Mind and Movement
"Transformers: The Game (Xbox 360, Ps2, Ps3, Wii & Pc Versions)",Xbox 360,2007,Action,Activision,0.51,0.04,0.0,0.05,0.6,Unknown
From Tv Animation One Piece: Grand Battle 2,PlayStation,2002,Fighting,Namco Bandai Games,0.0,0.0,0.56,0.04,0.6,Unknown
Beatmania Append 3Rdmix,PlayStation,1998,Simulation,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.6,Unknown
Muramasa: The Demon Blade,Nintendo Wii,2009,Role Playing,Rising Star Games,0.32,0.12,0.11,0.04,0.6,Vanillaware
Disney Th!Nk Fast: The Ultimate Trivia Showdown,Nintendo Wii,2008,Misc,Disney Interactive Studios,0.37,0.16,0.01,0.06,0.6,Unknown
Frozen: Olaf'S Quest,Nintendo 3DS,2013,Platform,Disney Interactive Studios,0.27,0.27,0.0,0.05,0.6,Unknown
Xena: Warrior Princess,PlayStation,1998,Adventure,Electronic Arts,0.33,0.23,0.0,0.04,0.6,Unknown
Littlest Pet Shop: Garden,Nintendo DS,2008,Simulation,Electronic Arts,0.31,0.23,0.0,0.06,0.6,Electronic Arts
Okami,Nintendo Wii,2008,Action,Capcom,0.43,0.09,0.04,0.05,0.6,Ready at Dawn
New Play Control! Pikmin 2,Nintendo Wii,2009,Strategy,Nintendo,0.11,0.13,0.33,0.02,0.6,Unknown
Lego The Hobbit,PlayStation 4,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6,TT Games
Front Mission,Super Nintendo Entertainment System,1995,Strategy,Squaresoft,0.0,0.0,0.6,0.0,0.6,Unknown
Wwe 2K17,PlayStation 4,2016,Sports,Take Two Interactive,0.17,0.34,0.0,0.09,0.6,Yuke's
Just Dance 2014,Nintendo Wii U,2013,Misc,Ubisoft,0.31,0.23,0.0,0.05,0.6,Ubisoft
New Play Control! Donkey Kong Jungle Beat,Nintendo Wii,2008,Platform,Nintendo,0.23,0.17,0.14,0.05,0.6,Unknown
Wipeout: The Game,Nintendo DS,2010,Misc,Activision,0.56,0.0,0.0,0.04,0.6,Endemol
Avatar: The Game,PlayStation Portable,2009,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6,Unknown
Nhl 15,PlayStation 4,2014,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6,EA Sports
Total War: Shogun 2,Personal Computer,2011,Strategy,Sega,0.19,0.31,0.0,0.09,0.6,Creative Assembly
Major League Baseball 2K7,PlayStation 2,2007,Sports,Spike,0.29,0.23,0.0,0.08,0.6,Kush Games
Dai-2-Ji Super Robot Taisen Α,PlayStation 2,2003,Strategy,Banpresto,0.0,0.0,0.6,0.0,0.6,Unknown
Pgr3 - Project Gotham Racing 3,Xbox 360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05,0.6,Unknown
Dragon Age: Inquisition,PlayStation 3,2014,Role Playing,Electronic Arts,0.27,0.18,0.05,0.09,0.6,BioWare
Simcity Ds,Nintendo DS,2007,Simulation,Electronic Arts,0.33,0.02,0.21,0.03,0.6,Aki Corp.
New Carnival Games,Nintendo Wii,2010,Misc,Take Two Interactive,0.33,0.21,0.0,0.05,0.59,Cat Daddy Games
Hot Wheels: Stunt Track Challenge,PlayStation 2,2004,Racing,Thq,0.29,0.23,0.0,0.08,0.59,Climax Group
Littlest Pet Shop: Jungle,Nintendo DS,2008,Simulation,Electronic Arts,0.34,0.2,0.0,0.06,0.59,Electronic Arts
Dai-3-Ji Super Robot Taisen Α: Shuuen No Ginga E,PlayStation 2,2005,Strategy,Banpresto,0.0,0.0,0.59,0.0,0.59,Unknown
Fifa 15,PlayStation Vita,2014,Sports,Electronic Arts,0.08,0.35,0.05,0.12,0.59,EA Sports
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PlayStation,1997,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.59,Unknown
Monopoly,Xbox 360,2008,Misc,Electronic Arts,0.34,0.2,0.0,0.06,0.59,EA Bright Light
Tony Hawk: Ride,PlayStation 3,2009,Sports,Activision,0.38,0.14,0.0,0.07,0.59,Robomodo
Cybertiger,PlayStation,1998,Sports,Electronic Arts,0.33,0.22,0.0,0.04,0.59,Unknown
Jampack Fall 2001,PlayStation,2001,Misc,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59,Unknown
Medal Of Honor: Frontline,GameCube,2002,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.59,Dreamworks Games
Dead Space,Personal Computer,2008,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,EA Redwood Shores
Nfl Blitz 2001,PlayStation,2000,Sports,Midway Games,0.33,0.22,0.0,0.04,0.59,Midway
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PlayStation,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.59,Unknown
Rock Band 2,PlayStation 2,2008,Misc,Mtv Games,0.29,0.23,0.0,0.08,0.59,Harmonix Music Systems
Nhl 11,PlayStation 3,2010,Sports,Electronic Arts,0.4,0.12,0.0,0.07,0.59,Electronic Arts
Yakuza 5,PlayStation 3,2012,Action,Sega,0.0,0.0,0.59,0.0,0.59,Ryu ga Gotoku Studios
Burgertime,Atari 2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59,Unknown
2002 Fifa World Cup,PlayStation 2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,EA Sports
Mvp Baseball 2004,Xbox,2004,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59,EA Sports
Crash Bandicoot: The Wrath Of Cortex,GameCube,2002,Platform,Universal Interactive,0.46,0.12,0.0,0.02,0.59,Traveller's Tales
Smurf: Rescue In Gargamel'S Castle,Atari 2600,1981,Action,Coleco,0.55,0.03,0.0,0.01,0.59,Unknown
Beijing 2008,Xbox 360,2008,Sports,Sega,0.15,0.38,0.0,0.07,0.59,Unknown
Pokemon Trozei!,Nintendo DS,2005,Puzzle,Nintendo,0.25,0.0,0.31,0.02,0.59,Unknown
Wwe 2K16,Xbox One,2015,Sports,Take Two Interactive,0.32,0.22,0.0,0.05,0.59,Yuke's
Extreme-G,Nintendo 64,1997,Racing,Acclaim Entertainment,0.47,0.11,0.0,0.01,0.59,Unknown
Ready 2 Rumble Boxing,Nintendo 64,1999,Sports,Midway Games,0.47,0.11,0.0,0.01,0.59,Unknown
Assassin'S Creed: Brotherhood,Personal Computer,2011,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59,Ubisoft Montreal
Spelling Challenges And More!,Nintendo DS,2007,Misc,505 Games,0.54,0.0,0.0,0.04,0.59,Unknown
Dead Or Alive Xtreme Beach Volleyball,Xbox,2003,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59,Team Ninja
Tales Of Rebirth,PlayStation 2,2004,Role Playing,Namco Bandai Games,0.0,0.0,0.59,0.0,0.59,Unknown
Silent Hill: Shattered Memories,PlayStation 2,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59,Climax Group
Disney Sing It: Family Hits,Nintendo Wii,2010,Misc,Disney Interactive Studios,0.38,0.17,0.0,0.05,0.59,Disney Interactive Studios
Blur,Xbox 360,2010,Racing,Activision,0.25,0.27,0.0,0.06,0.59,Bizarre Creations
Barbie: Race & Ride,PlayStation,1999,Action,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59,Unknown
Kane & Lynch 2: Dog Days,PlayStation 3,2010,Shooter,Square Enix,0.17,0.27,0.05,0.1,0.59,Unknown
Asphalt: Urban Gt,Nintendo DS,2004,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.59,Gameloft
Mega Man Anniversary Collection,PlayStation 2,2004,Platform,Capcom,0.29,0.22,0.0,0.08,0.59,Atomic Planet Entertainment
Metal Gear Solid V: Ground Zeroes,PlayStation 3,2014,Action,Konami Digital Entertainment,0.14,0.12,0.27,0.05,0.59,Kojima Productions
Harvest Moon: Friends Of Mineral Town,Game Boy Advance,2003,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.59,TOSE
Backyard Nba Basketball,PlayStation 2,2003,Sports,Atari,0.29,0.22,0.0,0.07,0.59,Unknown
Ben 10: Alien Force,PlayStation Portable,2008,Action,Koch Media,0.35,0.13,0.0,0.1,0.59,Monkey Bar Games
Naruto: The Broken Bond,Xbox 360,2008,Action,Ubisoft,0.24,0.28,0.0,0.06,0.59,Ubisoft Montreal
Kirby'S Dream Course,Super Nintendo Entertainment System,1994,Sports,Nintendo,0.0,0.0,0.59,0.0,0.59,Unknown
Warioware D.I.Y.,Nintendo DS,2009,Misc,Nintendo,0.17,0.18,0.2,0.04,0.59,Intelligent Systems
Iron Man,Nintendo Wii,2008,Action,Sega,0.3,0.22,0.0,0.06,0.59,Artificial Mind and Movement
The Fight: Lights Out,PlayStation 3,2010,Fighting,Sony Computer Entertainment,0.29,0.21,0.0,0.09,0.59,Coldwood Interactive
Mega Man X7,PlayStation 2,2003,Action,Capcom,0.22,0.17,0.14,0.06,0.58,"Valuewave Co.,Ltd."
Deus Ex: Human Revolution,Personal Computer,2011,Shooter,Square Enix,0.25,0.25,0.0,0.08,0.58,Nixxes Software
Spongebob Squarepants Featuring Nicktoons: Globs Of Doom,PlayStation 2,2008,Action,Thq,0.29,0.22,0.0,0.07,0.58,Incinerator Games
Final Fantasy Anniversary Edition,PlayStation Portable,2007,Role Playing,Square Enix,0.39,0.02,0.13,0.04,0.58,TOSE
Lego Indiana Jones 2: The Adventure Continues,PlayStation Portable,2009,Action,Activision,0.21,0.23,0.0,0.14,0.58,Traveller's Tales
Soulcalibur V,Xbox 360,2012,Fighting,Namco Bandai Games,0.39,0.13,0.02,0.04,0.58,Project Soul
Tokimeki Memorial: Forever With You,PlayStation,1995,Simulation,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.58,Unknown
Diablo,PlayStation,1997,Role Playing,Electronic Arts,0.29,0.19,0.07,0.04,0.58,Unknown
Q*Bert,Atari 2600,1982,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01,0.58,Unknown
Romancing Saga,PlayStation 2,2005,Role Playing,Square Enix,0.06,0.04,0.47,0.01,0.58,Square Enix
Lost: Via Domus,Xbox 360,2008,Action,Ubisoft,0.18,0.34,0.0,0.07,0.58,Ubisoft Montreal
Top Spin 3,Nintendo Wii,2008,Action,Take Two Interactive,0.15,0.37,0.0,0.07,0.58,Pam Development
Game Party In Motion,Xbox 360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.17,0.0,0.05,0.58,Farsight Studios
The Lord Of The Rings: The Third Age,PlayStation 2,2004,Role Playing,Electronic Arts,0.49,0.02,0.0,0.08,0.58,EA Games
Call Of Duty: Black Ops,Nintendo DS,2010,Shooter,Activision,0.5,0.04,0.0,0.04,0.58,n-Space
Disney Sing It! High School Musical 3: Senior Year,Nintendo Wii,2008,Misc,Disney Interactive Studios,0.31,0.23,0.0,0.04,0.58,Unknown
Ncaa Football 09,PlayStation 3,2008,Sports,Electronic Arts,0.54,0.0,0.0,0.04,0.58,EA Tiburon
Sonic & All-Stars Racing Transformed,Xbox 360,2012,Racing,Sega,0.2,0.33,0.0,0.05,0.58,Unknown
Mlb 11: The Show,PlayStation 3,2011,Sports,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58,SCEA San Diego Studios
Jeopardy!,Nintendo Wii,2010,Misc,Thq,0.55,0.0,0.0,0.04,0.58,Unknown
"Transformers: War For Cybertron (Xbox 360, Ps3, & Pc Versions)",Xbox 360,2010,Shooter,Activision,0.38,0.15,0.0,0.05,0.58,Unknown
Kinect Rush: A Disney Pixar Adventure,Xbox 360,2012,Adventure,Microsoft Game Studios,0.38,0.15,0.0,0.05,0.58,Asobo Studio
Sammy Sosa High Heat Baseball 2001,PlayStation,2000,Sports,3Do,0.32,0.22,0.0,0.04,0.58,Unknown
Skylanders Swap Force,Nintendo Wii U,2013,Platform,Activision,0.38,0.15,0.0,0.05,0.58,Vicarious Visions
Terminator 3: Rise Of The Machines,PlayStation 2,2003,Action,Atari,0.28,0.22,0.0,0.07,0.58,Black Ops Entertainment
Guitar Hero: Smash Hits,Nintendo Wii,2009,Misc,Activision,0.31,0.21,0.0,0.06,0.58,Beenox
Tom Clancy'S Hawx,Xbox 360,2009,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58,Ubisoft Romania
Alice: Madness Returns,PlayStation 3,2011,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,Spicy Horse
Shin Megami Tensei Iv,Nintendo 3DS,2013,Role Playing,Atlus,0.28,0.0,0.27,0.03,0.58,Atlus
Nba 2K7,Xbox 360,2006,Sports,Take Two Interactive,0.53,0.0,0.0,0.04,0.58,"Kush Games, Visual Concepts"
International Superstar Soccer '98,Nintendo 64,1998,Sports,Konami Digital Entertainment,0.06,0.3,0.19,0.03,0.58,Unknown
Fifa: Road To  World Cup 98,Nintendo 64,1997,Sports,Electronic Arts,0.15,0.39,0.0,0.03,0.58,Unknown
World Cup 98,Nintendo 64,1998,Sports,Electronic Arts,0.14,0.4,0.0,0.04,0.58,Unknown
Nhl 12,PlayStation 3,2011,Sports,Electronic Arts,0.36,0.15,0.0,0.07,0.58,Electronic Arts
Unreal Tournament,PlayStation 2,2000,Shooter,Infogrames,0.28,0.22,0.0,0.07,0.58,Epic Games
Digimon World 2,PlayStation,2000,Role Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58,Bandai
Tales Of Phantasia,PlayStation,1998,Role Playing,Namco Bandai Games,0.0,0.0,0.54,0.04,0.58,Unknown
Prince Of Persia: The Two Thrones,Xbox,2005,Action,Ubisoft,0.33,0.22,0.0,0.03,0.58,Ubisoft
Xenosaga Episode Ii: Jenseits Von Gut Und Böse,PlayStation 2,2004,Role Playing,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.58,Unknown
Gex: Enter The Gecko,PlayStation,1998,Platform,Bmg Interactive Entertainment,0.32,0.22,0.0,0.04,0.58,Unknown
Shrek 2: Beg For Mercy,Game Boy Advance,2004,Adventure,Activision,0.42,0.15,0.0,0.01,0.58,Unknown
Fifa Soccer 10,Nintendo DS,2009,Sports,Electronic Arts,0.14,0.37,0.0,0.07,0.58,Exient Entertainment
Jojo'S Bizarre Adventure: All Star Battle,PlayStation 3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58,CyberConnect2
Contra: Shattered Soldier,PlayStation 2,2002,Shooter,Konami Digital Entertainment,0.28,0.22,0.0,0.07,0.58,KCET
Championship Motocross Featuring Ricky Carmichael,PlayStation,1998,Racing,Thq,0.32,0.22,0.0,0.04,0.58,Unknown
Dragon Ball Z: Chou Saiya Densetsu,Super Nintendo Entertainment System,1992,Role Playing,Namco Bandai Games,0.0,0.0,0.58,0.0,0.58,Unknown
Final Fantasy: The 4 Heroes Of Light,Nintendo DS,2009,Role Playing,Square Enix,0.22,0.1,0.23,0.03,0.58,Matrix Software
Rayman Legends,PlayStation 3,2013,Platform,Ubisoft,0.14,0.34,0.0,0.1,0.58,Ubisoft Montpellier
Fire Emblem: Seisen No Keifu,Super Nintendo Entertainment System,1996,Strategy,Nintendo,0.0,0.0,0.58,0.0,0.58,Unknown
Fifa Soccer,PlayStation Vita,2012,Sports,Electronic Arts,0.16,0.32,0.02,0.08,0.58,Electronic Arts
Tenchu 2: Birth Of The Stealth Assassins,PlayStation,2000,Action,Activision,0.32,0.22,0.0,0.04,0.58,Acquire
Tony Hawk'S Pro Skater 4,GameCube,2002,Sports,Activision,0.45,0.12,0.0,0.02,0.58,Neversoft Entertainment
Go Diego Go! Great Dinosaur Rescue,Nintendo Wii,2008,Action,Take Two Interactive,0.52,0.02,0.0,0.04,0.58,Unknown
Naruto: Uzumaki Chronicles 2,PlayStation 2,2006,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58,Cavia Inc.
Nhl 06,PlayStation 2,2005,Sports,Electronic Arts,0.48,0.02,0.0,0.08,0.58,EA Canada
Parasite Eve Ii,PlayStation,1999,Role Playing,Squaresoft,0.32,0.22,0.0,0.04,0.58,SquareSoft
Nfl Blitz 2000,Nintendo 64,1999,Sports,Midway Games,0.55,0.02,0.0,0.0,0.58,Unknown
Skate It,Nintendo Wii,2008,Sports,Electronic Arts,0.5,0.03,0.0,0.04,0.58,Electronic Arts
Pro Evolution Soccer 2015,PlayStation 3,2014,Sports,Konami Digital Entertainment,0.1,0.2,0.22,0.06,0.58,Konami
London 2012: The Official Video Game Of The Olympic Games,Xbox 360,2012,Sports,Sega,0.07,0.44,0.0,0.07,0.58,Unknown
Ncaa Football 10,PlayStation 2,2009,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.58,EA Tiburon
Phineas And Ferb: Across The 2Nd Dimension,Nintendo Wii,2011,Action,Disney Interactive Studios,0.35,0.18,0.0,0.05,0.57,High Impact Games
Theme Park,PlayStation,1994,Simulation,Electronic Arts,0.24,0.16,0.13,0.04,0.57,Unknown
Far Cry Instincts,Xbox,2005,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.57,Ubisoft Montreal
Hasbro Family Game Night,PlayStation 2,2008,Puzzle,Electronic Arts,0.28,0.22,0.0,0.07,0.57,EA Bright Light
Tony Hawk'S Pro Skater 4,Game Boy Advance,2002,Sports,Activision,0.41,0.15,0.0,0.01,0.57,Vicarious Visions
Atv Offroad Fury: Blazin' Trails,PlayStation Portable,2005,Racing,Southpeak Games,0.53,0.0,0.0,0.04,0.57,Climax Group
Tales Of The Abyss,PlayStation 2,2005,Role Playing,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,Namco
Payday 2,Xbox 360,2013,Shooter,505 Games,0.33,0.19,0.0,0.05,0.57,Overkill Software
Mobile Suit Gundam: Giren No Yabou- Zeon No Keifu,PlayStation,2000,Strategy,Namco Bandai Games,0.0,0.0,0.54,0.04,0.57,Unknown
Blacksite: Area 51,Xbox 360,2007,Shooter,Midway Games,0.29,0.22,0.0,0.06,0.57,Midway Studios - Austin
Spyro Orange: The Cortex Conspiracy,Game Boy Advance,2004,Action,Vivendi Games,0.41,0.15,0.0,0.01,0.57,Vicarious Visions
Xcom: Enemy Unknown,PlayStation 3,2012,Strategy,Take Two Interactive,0.24,0.23,0.0,0.1,0.57,Firaxis Games
Petz Dogz 2,Nintendo Wii,2007,Simulation,Ubisoft,0.52,0.01,0.0,0.04,0.57,Ubisoft
Beyond The Beyond,PlayStation,1995,Role Playing,Sony Computer Entertainment,0.11,0.08,0.35,0.04,0.57,Unknown
Ben 10: Alien Force,PlayStation 2,2008,Action,Koch Media,0.22,0.02,0.0,0.33,0.57,Monkey Bar Games
Skylanders: Spyro'S Adventure,Nintendo 3DS,2011,Action,Activision,0.32,0.2,0.0,0.05,0.57,Vicarious Visions
Cabela'S Dangerous Hunts 2011,Nintendo Wii,2010,Sports,Activision,0.52,0.02,0.0,0.04,0.57,Activision
The Sims 3: World Adventures,Personal Computer,2009,Simulation,Electronic Arts,0.02,0.18,0.0,0.38,0.57,The Sims Studio
Madden Nfl 06,GameCube,2005,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57,EA Sports
Mega Man Star Force 2: Zerker X Ninja  &  Saurian,Nintendo DS,2007,Action,Capcom,0.24,0.0,0.31,0.02,0.57,Unknown
Titanfall 2,Xbox One,2016,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,0.57,Respawn Entertainment
Blazblue: Calamity Trigger,PlayStation 3,2009,Fighting,Pqube,0.36,0.1,0.06,0.06,0.57,Arc System Works
"Transformers: The Game (Xbox 360, Ps2, Ps3, Wii & Pc Versions)",Nintendo Wii,2007,Action,Activision,0.5,0.03,0.0,0.05,0.57,Unknown
Iron Man,Xbox 360,2008,Action,Sega,0.27,0.24,0.0,0.06,0.57,Secret Level
Naruto: Ultimate Ninja 2,PlayStation 2,2004,Fighting,Namco Bandai Games,0.47,0.02,0.0,0.08,0.57,CyberConnect2
The Mysterious Murasame Castle,Nintendo Entertainment System,1986,Action,Nintendo,0.0,0.0,0.57,0.0,0.57,Unknown
Nba Hangtime,Nintendo 64,1997,Sports,Gt Interactive,0.48,0.08,0.0,0.0,0.57,Unknown
Nhl 10,PlayStation 3,2009,Sports,Electronic Arts,0.38,0.12,0.0,0.07,0.57,EA Canada
Zumba Fitness,PlayStation 3,2010,Sports,505 Games,0.28,0.21,0.0,0.08,0.57,"Pipeworks Software, Inc."
Rock Band 3,PlayStation 3,2010,Misc,Mtv Games,0.43,0.08,0.0,0.05,0.57,Harmonix Music Systems
Blood Wake,Xbox,2001,Shooter,Microsoft Game Studios,0.43,0.12,0.0,0.02,0.57,Stormfront Studios
Dynasty Warriors 5: Xtreme Legends,PlayStation 2,2005,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57,Omega Force
Rapala: We Fish,Nintendo Wii,2009,Sports,Activision,0.52,0.01,0.0,0.04,0.57,Activision
Harvest Moon: Sunshine Islands,Nintendo DS,2008,Simulation,Rising Star Games,0.35,0.03,0.17,0.03,0.57,Unknown
Wwe 2K15,Xbox One,2014,Sports,Take Two Interactive,0.29,0.23,0.0,0.05,0.57,Yuke's
Jampack Summer 2002,PlayStation 2,2002,Misc,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.57,Unknown
Fifa World Cup Germany 2006,PlayStation 2,2006,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57,EA Canada
Wreckless: The Yakuza Missions,Xbox,2002,Racing,Activision,0.42,0.11,0.02,0.02,0.57,Bunkasha Publishing
Super Bomberman,Super Nintendo Entertainment System,1992,Puzzle,Hudson Soft,0.0,0.0,0.57,0.0,0.57,Unknown
Defiance,Xbox 360,2013,Shooter,Trion Worlds,0.38,0.14,0.0,0.05,0.57,Trion Worlds
Disgaea 4: A Promise Unforgotten,PlayStation 3,2011,Role Playing,Nippon Ichi Software,0.27,0.11,0.14,0.05,0.57,Nippon Ichi Software
Spongebob Squarepants Featuring Nicktoons: Globs Of Doom,Nintendo DS,2008,Action,Thq,0.52,0.0,0.0,0.04,0.57,Natsume
Spongebob Squarepants: Battle For Bikini Bottom,Xbox,2003,Platform,Thq,0.45,0.1,0.0,0.02,0.57,Heavy Iron Studios
Doom 3 Bfg Edition,PlayStation 3,2012,Shooter,Bethesda Softworks,0.26,0.21,0.0,0.1,0.57,id Software
Sd Gundam G Generation Neo,PlayStation 2,2002,Strategy,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,Unknown
Spider-Man 3,Xbox 360,2007,Platform,Activision,0.49,0.04,0.0,0.04,0.57,Treyarch
Pro Evolution Soccer 2012,PlayStation Portable,2011,Action,Konami Digital Entertainment,0.1,0.11,0.29,0.06,0.57,Konami
The Conduit,Nintendo Wii,2009,Shooter,Sega,0.28,0.23,0.0,0.06,0.57,High Voltage Software
Trivial Pursuit,Nintendo Wii,2009,Misc,Electronic Arts,0.2,0.3,0.0,0.07,0.57,EA Bright Light
Just Dance 2016,Nintendo Wii U,2015,Misc,Ubisoft,0.27,0.25,0.0,0.05,0.57,Ubisoft
Disney Universe,Xbox 360,2011,Action,Disney Interactive Studios,0.37,0.14,0.0,0.05,0.57,Eurocom Entertainment Software
Rallisport Challenge,Xbox,2002,Racing,Microsoft Game Studios,0.39,0.16,0.0,0.02,0.57,Digital Illusions
Resident Evil Outbreak File #2,PlayStation 2,2004,Action,Capcom,0.19,0.15,0.17,0.05,0.57,Capcom
Top Spin 3,PlayStation 3,2008,Action,Take Two Interactive,0.08,0.36,0.0,0.12,0.57,Pam Development
Bob The Builder: Can We Fix It?,PlayStation,2000,Action,Thq,0.31,0.21,0.0,0.04,0.57,Unknown
Xiii,PlayStation 2,2003,Shooter,Ubisoft,0.28,0.22,0.0,0.07,0.57,Ubisoft Paris
Tomb Raider: Anniversary,PlayStation Portable,2007,Action,Eidos Interactive,0.21,0.22,0.0,0.13,0.57,Crystal Dynamics
Bratz 4 Real,Nintendo DS,2007,Adventure,Thq,0.29,0.22,0.0,0.06,0.57,THQ
Rune Factory 4,Nintendo 3DS,2012,Role Playing,Xseed Games,0.32,0.0,0.21,0.03,0.57,Neverland
3D Dot Game Heroes,PlayStation 3,2009,Role Playing,Southpeak Games,0.36,0.11,0.03,0.07,0.57,Silicon Studio
